words,n
mercado,66148
ações,65462
milhões,60253
total,44875
capital,40371
valor,36051
brasil,35317
investidores,34623
sobre,32597
acionistas,29880
valores,28652
administração,28248
relações,28041
crédito,26096
oferta,26050
ser,25259
informações,24766
data,24690
conselho,23958
financial,23955
relações investidores,22716
diretor,22682
resultados,22622
cvm,22356
bilhões,22165
ebitda,22076
conforme,21574
outros,20799
operações,20337
geral,20264
paulo,20016
social,19969
crescimento,19882
líquido,19583
mil,19192
participação,18796
receita,17924
resultado,17878
energia,17759
prazo,17494
ano,17261
termos,16638
empresas,16590
risco,16512
despesas,16426
emissão,16043
conselho administração,15828
mobiliários,15599
clientes,15577
banco,15467
lucro,15294
valores mobiliários,15251
riscos,15228
ativos,15163
comunicado,15047
caixa,14980
investimento,14932
negócios,14915
rio,14748
serviços,14657
líquida,14358
qualquer,14243
relação,14238
dívida,14231
forma,14144
aumento,13813
vendas,13583
anos,13567
acordo,13546
base,13530
investimentos,13524
financeiro,13471
income,13467
exercício,13237
operação,13110
margem,12938
período,12925
financeira,12695
outras,12642
carteira,12574
juros,12566
gestão,12532
million,12209
comunicado mercado,12172
volume,12129
www,12041
market,11865
preço,11855
aberta,11810
financeiras,11759
cnpj,11750
lei,11591
maior,11554
net,11543
fonte,11518
dia,11411
venda,11347
instrução,11341
empresa,11235
plano,11082
operacional,11079
aquisição,10994
ação,10967
meio,10814
distribuição,10812
redução,10812
relevante,10812
produção,10556
securities,10468
sendo,10431
lucro líquido,10207
operacionais,10071
caso,10012
condições,10002
produtos,9917
custo,9908
financeiros,9887
trimestre,9875
cada,9840
médio,9828
remuneração,9793
meses,9715
capacidade,9676
fato,9675
ordinárias,9506
futuros,9481
dias,9366
pessoas,9276
artigo,9204
bem,9104
company,9099
geração,9041
nova,8965
pagamento,8892
assembleia,8824
tais,8752
ações ordinárias,8703
apresentação,8661
índice,8649
contrato,8647
statements,8633
ajustado,8628
desempenho,8558
número,8508
taxa,8474
podem,8469
após,8456
média,8446
negociação,8391
controle,8297
global,8282
américa,8258
novo,8251
recursos,8229
fato relevante,8228
pública,8181
direito,8127
contratos,8088
iii,8036
fiscal,8035
nire,8009
ainda,8006
custos,8001
abaixo,7925
estado,7920
acima,7907
preferenciais,7894
receitas,7858
expectativas,7853
notes,7841
processo,7776
presidente,7702
debêntures,7700
thousand,7699
projeções,7696
partir,7675
brasileiro,7620
declarações,7578
programa,7520
nível,7474
dividendos,7466
management,7423
desde,7379
além,7375
todos,7352
títulos,7329
estimativas,7233
comitê,7197
pode,7186
compra,7162
report,7157
longo,7154
inclui,7136
principais,7115
membros,7109
assets,7077
atendimento,7063
estrutura,7063
expenses,6998
grupo,6979
acionista,6975
nacional,6929
principal,6928
governança,6914
item,6894
acionistas mercado,6890
seguros,6859
recuperação,6848
anual,6842
shares,6822
aprovar,6808
financial statements,6789
petróleo,6760
quais,6750
bolsa,6740
estratégia,6720
setor,6699
reais,6688
assembleia geral,6630
consolidated,6600
negócio,6582
varejo,6567
demais,6565
lojas,6534
eventos,6519
divulgação,6516
dados,6514
parte,6503
final,6470
mercado geral,6467
reserva,6461
ações preferenciais,6436
liquidação,6434
interest,6419
diretor relações,6417
instrução cvm,6406
renda,6338
opções,6286
shareholders,6251
cnpj nire,6231
desenvolvimento,6203
variação,6199
quaisquer,6190
sociedade,6159
novos,6152
gerais,6132
diretoria,6112
nesta,6079
projetos,6057
fatores,6050
demonstrações,6039
disposto,5995
deve,5953
segmento,5943
december,5909
sob,5908
deverá,5893
evolução,5886
mês,5882
realizada,5858
sul,5856
