words,n
gente,596955
então,564012
vou,224660
mercado,206254
pra,206144
vamos,192205
ação,178148
empresa,139517
acho,139058
pessoal,111224
alta,109701
compra,106960
ações,100960
cara,97577
ficar,93659
comprar,93407
falar,91325
fundo,90883
olha,90516
papel,87792
reais,86852
dinheiro,84664
gráfico,78428
menos,75231
tempo,75088
tendência,74108
brasil,73398
venda,70195
preço,67361
melhor,65700
bolsa,63974
empresas,63865
pessoas,63810
canal,63583
semana,62966
valor,62961
importante,61910
vídeo,61513
maior,59825
dólar,59505
queda,58454
stop,58251
mundo,57828
prazo,56694
fica,56635
movimento,56359
região,56302
beleza,54217
pouquinho,53892
vale,53323
média,53135
colocar,52918
pegar,52306
fala,51361
caso,50336
certo,50114
falando,50108
banco,50071
forte,49392
interessante,49242
carteira,48949
mim,48053
longo,47625
conta,47442
entrar,47101
suporte,47021
rio,46444
realmente,46435
dias,46237
legal,45036
risco,43835
subir,43061
acima,42857
lucro,42739
topo,42513
vender,41644
ativo,41629
deu,41432
deixa,41299
galera,41147
fundos,40425
abaixo,40129
linha,39914
tipo,39737
setor,39697
falei,39626
deixar,39438
consegue,39360
sair,39119
precisa,39045
qualquer,38998
renda,38617
operação,38373
começar,37708
volume,37584
daqui,37122
minutos,36807
tava,36640
casa,36630
entrada,36314
verdade,36172
voltar,35922
investimento,35724
saber,35356
resistência,34424
índice,33838
pergunta,33717
baixa,33603
perder,33588
falou,33543
olhar,33161
ficou,33137
investir,33014
trade,32056
vida,31991
pessoa,31914
seguinte,31616
amanhã,31549
ganhar,31394
quase,31322
passar,31177
ativos,31067
volta,30951
resultado,30891
problema,30637
milhões,30622
claro,30383
análise,30267
chegou,30097
entender,29946
mostrar,29946
quiser,29533
alvo,29092
tentar,28943
centavos,28937
exatamente,28708
gosto,28643
taxa,28547
capital,28455
caiu,28333
semanal,28117
negócio,27912
cair,27764
pagar,27402
vejo,27311
acontecer,26888
futuro,26882
então gente,26591
frente,26554
chegar,26400
crescimento,26326
queria,25899
rompimento,25878
subiu,25689
curso,25683
buscar,25268
música,25191
fiz,25034
existe,24811
investimentos,24759
conseguir,24671
caixa,24352
curto,24347
viu,24346
dividendos,24333
continuar,24250
investidor,24038
subindo,24037
inclusive,23796
começa,23729
estados,23285
tomar,22981
fato,22758
operar,22671
enfim,22580
juros,22576
acontece,22524
principalmente,22289
abrir,22280
positivo,22037
acabou,21977
preã,21783
aconteceu,21777
diário,21633
menor,21604
longo prazo,21554
pena,21211
esperar,21074
trimestre,20980
valores,20958
romper,20957
fechamento,20940
trabalhar,20911
entendeu,20768
anterior,20624
difícil,20615
máxima,20597
operações,20583
financeiro,20569
oportunidade,20502
começou,20486
site,20413
youtube,20304
receita,20286
olho,20175
força,20157
fechar,20073
unidos,19984
processo,19850
sinal,19838
perdeu,19782
alto,19707
crise,19699
passado,19619
igual,19491
fechou,19340
pensar,19293
governo,19183
mínima,19165
junto,19133
comprou,19016
petrobras,18982
embaixo,18969
diferente,18849
acaba,18745
top,18728
bancos,18723
caindo,18719
deus,18693
companhia,18674
acha,18668
cenário,18666
economia,18548
voltou,18380
paulo,18354
pega,18342
bateu,18237
trazer,18224
sentido,18222
lar,18208
continua,18205
papéis,18202
estratégia,18148
ruim,18133
tela,18110
retorno,17844
fácil,17803
comprado,17729
investidores,17688
dando,17669
usar,17551
real,17413
porcento,17156
maneira,17142
então vamos,17123
veio,17077
acredito,17033
vã­deo,16974
basicamente,16966
lembrando,16904
rompeu,16747
operaã,16728
regiã,16565
bola,16402
opção,16366
olhando,16364
bater,16297
tirar,16282
objetivo,16239
total,16159
direito,16150
resultados,16131
durante,16126
opções,16078
cuidado,16067
gosta,16056
manhã,16044
comprando,16002
novamente,15975
varejo,15965
corretora,15964
ordem,15899
conseguiu,15887
abertura,15846
tendência alta,15814
estados unidos,15799
espero,15760
ideia,15754
período,15660
itaú,15609
praticamente,15561
olá,15555
base,15531
receber,15457
funciona,15442
link,15387
estoque,15301
preciso,15272
negativo,15160
atenção,15060
ibovespa,14978
olhada,14971
passa,14970
entrou,14949
correção,14934
saiu,14903
simples,14841
falo,14731
entra,14714
deixou,14644
energia,14592
médias,14545
coloca,14540
carro,14527
pra mim,14495
chama,14403
daí,14370
segue,14363
médio,14360
situação,14300
ajudar,14262
jeito,14257
vel,14159
live,14130
barra,14111
passou,13997
margem,13978
provavelmente,13953
várias,13912
pegou,13772
querendo,13743
liquidez,13713
dados,13704
história,13673
dívida,13658
sai,13633
bacana,13630
fixa,13592
volatilidade,13591
justamente,13589
super,13574
pra gente,13573
chega,13417
produtos,13410
abraço,13394
fluxo,13321
possibilidade,13283
aumento,13258
expectativa,13207
botar,13175
